Device;Load Type;Profile;Number of Activations
Router O2 Box 6431;Apparent;Profile for Router O2 Box 6431 Apparent [Measurement by ZSW (1min)];9050
Router O2 Box 6431;Electricity;Profile for Router O2 Box 6431 Electricity [Measurement by ZSW (1min)];9050
Router O2 Box 6431;Inner Device Heat Gains;Profile for Router O2 Box 6431 Electricity [Measurement by ZSW (1min)];9050
Router O2 Box 6431;Reactive;Profile for Router O2 Box 6431 Reactive [Measurement by ZSW (1min)];9050
SAT Receiver / Kathrein UFS913;Apparent;0 h 15 min 100% [Synthetic];166
SAT Receiver / Kathrein UFS913;Apparent;01 h 0 min 100% [Synthetic];499
SAT Receiver / Kathrein UFS913;Apparent;02 h 0 min 100% [Synthetic];673
SAT Receiver / Kathrein UFS913;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8777
SAT Receiver / Kathrein UFS913;Electricity;0 h 15 min 100% [Synthetic];166
SAT Receiver / Kathrein UFS913;Electricity;01 h 0 min 100% [Synthetic];499
SAT Receiver / Kathrein UFS913;Electricity;02 h 0 min 100% [Synthetic];673
SAT Receiver / Kathrein UFS913;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8777
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;0 h 15 min 100% [Synthetic];166
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];499
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];673
SAT Receiver / Kathrein UFS913;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8777
SAT Receiver / Kathrein UFS913;Reactive;0 h 15 min 100% [Synthetic];166
SAT Receiver / Kathrein UFS913;Reactive;01 h 0 min 100% [Synthetic];499
SAT Receiver / Kathrein UFS913;Reactive;02 h 0 min 100% [Synthetic];673
SAT Receiver / Kathrein UFS913;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8777
School (with holidays);None;0 h 01 min 100% [Synthetic];284
Schoolbook;None;01 h 0 min 100% [Synthetic];338
Shopping Cart;None;04 h 0 min 100% [Synthetic];78
Shower 12,5 L/min;Warm Water;Shower Profile for Men 9 min [Synthetic];948
Shower 12,5 L/min;Warm Water;Shower Profile for Women 14 min [Synthetic];684
Siemens Fridge from 1987 (unknown type);Apparent;Profile for Siemens Fridge from 1987 (unknown type) Apparent [Measured 1 min Resolution (TUC)];2204
Siemens Fridge from 1987 (unknown type);Electricity;Profile for Siemens Fridge from 1987 (unknown type) Electricity [Measured 1 min Resolution (TUC)];2204
Siemens Fridge from 1987 (unknown type);Inner Device Heat Gains;Profile for Siemens Fridge from 1987 (unknown type) Electricity [Measured 1 min Resolution (TUC)];2204
Siemens Fridge from 1987 (unknown type);Reactive;Profile for Siemens Fridge from 1987 (unknown type) Electricity [Measured 1 min Resolution (TUC)];2204
Single Stove Plate;Apparent;Profile for Stove Plate 15 min Cooking Cycle Apparent [Measurement by ZSW (1min)];2
Single Stove Plate;Apparent;Profile for Stove Plate 1h 40 min Cooking Cycle Apparent [Measurement by ZSW (1min)];2
Single Stove Plate;Apparent;Profile for Stove Plate 1h Cooking Cycle Apparent [Measurement by ZSW (1min)];345
Single Stove Plate;Apparent;Profile for Stove Plate 30 min Cooking Cycle Apparent [Measurement by ZSW (1min)];1152
Single Stove Plate;Electricity;Profile for Stove Plate 15 min Cooking Cycle Electricity [Measurement by ZSW (1min)];2
Single Stove Plate;Electricity;Profile for Stove Plate 1h 40 min Cooking Cycle Electricity [Measurement by ZSW (1min)];2
Single Stove Plate;Electricity;Profile for Stove Plate 1h Cooking Cycle Electricity [Measurement by ZSW (1min)];345
Single Stove Plate;Electricity;Profile for Stove Plate 30 min Cooking Cycle Electricity [Measurement by ZSW (1min)];1152
Single Stove Plate;Inner Device Heat Gains;Profile for Stove Plate 15 min Cooking Cycle Electricity [Measurement by ZSW (1min)];2
Single Stove Plate;Inner Device Heat Gains;Profile for Stove Plate 1h 40 min Cooking Cycle Electricity [Measurement by ZSW (1min)];2
Single Stove Plate;Inner Device Heat Gains;Profile for Stove Plate 1h Cooking Cycle Electricity [Measurement by ZSW (1min)];345
Single Stove Plate;Inner Device Heat Gains;Profile for Stove Plate 30 min Cooking Cycle Electricity [Measurement by ZSW (1min)];1152
Single Stove Plate;Reactive;Profile for Stove Plate 15 min Cooking Cycle Reactive [Measurement by ZSW (1min)];2
Single Stove Plate;Reactive;Profile for Stove Plate 1h 40 min Cooking Cycle Reactive [Measurement by ZSW (1min)];2
Single Stove Plate;Reactive;Profile for Stove Plate 1h Cooking Cycle Reactive [Measurement by ZSW (1min)];345
Single Stove Plate;Reactive;Profile for Stove Plate 30 min Cooking Cycle Reactive [Measurement by ZSW (1min)];1152
Skil 483 H;Apparent;0 h 05 min 100% [Synthetic];61
Skil 483 H;Electricity;0 h 05 min 100% [Synthetic];61
Skil 483 H;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];61
Skil 483 H;Reactive;0 h 05 min 100% [Synthetic];61
Snow Shovel;None;0 h 15 min 100% [Synthetic];17
Space Heating;Space Heating;Heating profile - Internal: 0 External:  -4320() [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 10080 External:  5760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 100800 External:  96480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 102240 External:  97920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 103680 External:  99360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 105120 External:  100800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 106560 External:  102240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 108000 External:  103680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 109440 External:  105120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 110880 External:  106560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 112320 External:  108000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 113760 External:  109440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 11520 External:  7200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 115200 External:  110880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 116640 External:  112320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 118080 External:  113760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 119520 External:  115200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 120960 External:  116640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 122400 External:  118080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 123840 External:  119520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 125280 External:  120960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 126720 External:  122400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 128160 External:  123840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 12960 External:  8640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 129600 External:  125280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 131040 External:  126720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 132480 External:  128160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 133920 External:  129600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 135360 External:  131040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 136800 External:  132480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 138240 External:  133920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 139680 External:  135360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 141120 External:  136800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 142560 External:  138240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 1440 External:  -2880() [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 14400 External:  10080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 144000 External:  139680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 145440 External:  141120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 146880 External:  142560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 148320 External:  144000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 149760 External:  145440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 151200 External:  146880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 152640 External:  148320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 154080 External:  149760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 155520 External:  151200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 156960 External:  152640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 15840 External:  11520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 158400 External:  154080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 159840 External:  155520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 161280 External:  156960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 162720 External:  158400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 164160 External:  159840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 165600 External:  161280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 167040 External:  162720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 168480 External:  164160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 169920 External:  165600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 171360 External:  167040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 17280 External:  12960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 172800 External:  168480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 174240 External:  169920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 175680 External:  171360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 177120 External:  172800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 178560 External:  174240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 180000 External:  175680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 181440 External:  177120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 182880 External:  178560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 184320 External:  180000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 185760 External:  181440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 18720 External:  14400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 187200 External:  182880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 188640 External:  184320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 190080 External:  185760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 191520 External:  187200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 192960 External:  188640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 194400 External:  190080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 195840 External:  191520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 197280 External:  192960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 198720 External:  194400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 200160 External:  195840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 20160 External:  15840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 201600 External:  197280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 203040 External:  198720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 204480 External:  200160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 205920 External:  201600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 207360 External:  203040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 208800 External:  204480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 210240 External:  205920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 211680 External:  207360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 213120 External:  208800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 214560 External:  210240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 21600 External:  17280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 216000 External:  211680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 217440 External:  213120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 218880 External:  214560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 220320 External:  216000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 221760 External:  217440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 223200 External:  218880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 224640 External:  220320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 226080 External:  221760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 227520 External:  223200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 228960 External:  224640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 23040 External:  18720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 230400 External:  226080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 231840 External:  227520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 233280 External:  228960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 234720 External:  230400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 236160 External:  231840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 237600 External:  233280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 239040 External:  234720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 240480 External:  236160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 241920 External:  237600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 243360 External:  239040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 24480 External:  20160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 244800 External:  240480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 246240 External:  241920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 247680 External:  243360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 249120 External:  244800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 250560 External:  246240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 252000 External:  247680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 253440 External:  249120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 254880 External:  250560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 256320 External:  252000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 257760 External:  253440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 25920 External:  21600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 259200 External:  254880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 260640 External:  256320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 262080 External:  257760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 263520 External:  259200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 264960 External:  260640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 266400 External:  262080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 267840 External:  263520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 269280 External:  264960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 270720 External:  266400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 272160 External:  267840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 27360 External:  23040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 273600 External:  269280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 275040 External:  270720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 276480 External:  272160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 277920 External:  273600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 279360 External:  275040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 280800 External:  276480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 282240 External:  277920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 283680 External:  279360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 285120 External:  280800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 286560 External:  282240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 2880 External:  -1440() [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 28800 External:  24480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 288000 External:  283680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 289440 External:  285120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 290880 External:  286560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 292320 External:  288000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 293760 External:  289440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 295200 External:  290880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 296640 External:  292320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 298080 External:  293760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 299520 External:  295200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 300960 External:  296640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 30240 External:  25920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 302400 External:  298080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 303840 External:  299520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 305280 External:  300960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 306720 External:  302400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 308160 External:  303840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 309600 External:  305280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 311040 External:  306720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 312480 External:  308160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 313920 External:  309600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 315360 External:  311040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 31680 External:  27360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 316800 External:  312480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 318240 External:  313920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 319680 External:  315360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 321120 External:  316800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 322560 External:  318240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 324000 External:  319680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 325440 External:  321120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 326880 External:  322560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 328320 External:  324000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 329760 External:  325440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 33120 External:  28800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 331200 External:  326880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 332640 External:  328320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 334080 External:  329760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 335520 External:  331200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 336960 External:  332640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 338400 External:  334080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 339840 External:  335520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 341280 External:  336960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 342720 External:  338400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 344160 External:  339840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 34560 External:  30240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 345600 External:  341280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 347040 External:  342720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 348480 External:  344160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 349920 External:  345600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 351360 External:  347040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 352800 External:  348480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 354240 External:  349920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 355680 External:  351360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 357120 External:  352800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 358560 External:  354240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 36000 External:  31680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 360000 External:  355680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 361440 External:  357120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 362880 External:  358560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 364320 External:  360000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 365760 External:  361440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 367200 External:  362880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 368640 External:  364320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 370080 External:  365760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 371520 External:  367200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 372960 External:  368640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 37440 External:  33120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 374400 External:  370080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 375840 External:  371520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 377280 External:  372960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 378720 External:  374400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 380160 External:  375840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 381600 External:  377280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 383040 External:  378720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 384480 External:  380160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 385920 External:  381600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 387360 External:  383040(D) [Calculated from Heating Degree Days];1
