Device;Load Type;Profile;Number of Activations
Circulation Pump / Grundfos Alpha Pro 25-40 180;Reactive;01 h 0 min 100% [Synthetic];12304
Cleanser;None;01 h 0 min 100% [Synthetic];87
Cloth Drying Rack;None;0 h 20 min 100% [Synthetic];82
Coffee Machine / Braun Impression KF 600;Apparent;0 h 10 min 100% [Synthetic];64
Coffee Machine / Braun Impression KF 600;Electricity;0 h 10 min 100% [Synthetic];64
Coffee Machine / Braun Impression KF 600;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];64
Coffee Machine / Braun Impression KF 600;Reactive;0 h 10 min 100% [Synthetic];64
Couch;None;01 h 0 min 100% [Synthetic];30
Couch;None;02 h 0 min 100% [Synthetic];888
Dishwasher NEFF SD6P1F (2011);Apparent;Profile for Dishwasher NEFF SD6P1F (2011) Apparent [Measurement by ZSW (1min)];136
Dishwasher NEFF SD6P1F (2011);Cold Water;0 h 05 min 100% [Synthetic];136
Dishwasher NEFF SD6P1F (2011);Electricity;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];136
Dishwasher NEFF SD6P1F (2011);Inner Device Heat Gains;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];136
Dishwasher NEFF SD6P1F (2011);Reactive;Profile for Dishwasher NEFF SD6P1F (2011) Reactive [Measurement by ZSW (1min)];136
Drill Hammer / AEG BH 22 E;Apparent;0 h 05 min 100% [Synthetic];122
Drill Hammer / AEG BH 22 E;Electricity;0 h 05 min 100% [Synthetic];122
Drill Hammer / AEG BH 22 E;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];122
Drill Hammer / AEG BH 22 E;Reactive;0 h 05 min 100% [Synthetic];122
Egg Cooker / Russell Hobbs 14048-56 Stylo;Apparent;0 h 05 min 100% [Synthetic];46
Egg Cooker / Russell Hobbs 14048-56 Stylo;Electricity;0 h 05 min 100% [Synthetic];46
Egg Cooker / Russell Hobbs 14048-56 Stylo;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];46
Egg Cooker / Russell Hobbs 14048-56 Stylo;Reactive;0 h 05 min 100% [Synthetic];46
Electric Kettle / Petra WK288 1.5L;Apparent;Profile for Electric Kettle Petra WK288 1.5L Apparent [Measurement by ZSW (1min)];64
Electric Kettle / Petra WK288 1.5L;Electricity;Profile for Electric Kettle Petra WK288 1.5L Electricity [Measurement by ZSW (1min)];64
Electric Kettle / Petra WK288 1.5L;Inner Device Heat Gains;Profile for Electric Kettle Petra WK288 1.5L Electricity [Measurement by ZSW (1min)];64
Electric Kettle / Petra WK288 1.5L;Reactive;Profile for Electric Kettle Petra WK288 1.5L Reactive [Measurement by ZSW (1min)];64
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;Apparent;0 h 03 min 100% [Synthetic];939
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;Electricity;0 h 03 min 100% [Synthetic];939
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;Inner Device Heat Gains;0 h 03 min 100% [Synthetic];939
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;Reactive;0 h 03 min 100% [Synthetic];939
Electric Razor Braun Cruzer 5;Apparent;Profile for Electric Razor Braun Cruzer 5 Apparent [Measurement by ZSW (1min)];6680
Electric Razor Braun Cruzer 5;Electricity;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];6680
Electric Razor Braun Cruzer 5;Inner Device Heat Gains;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];6680
Electric Razor Braun Cruzer 5;Reactive;Profile for Electric Razor Braun Cruzer 5 Reactive [Measurement by ZSW (1min)];6680
Electric Toothbrush Dondodent Professional Clean;Apparent;Profile for Electric Toothbrush Dondodent Professional Clean Apparent [Measurement by ZSW (1min)];6336
Electric Toothbrush Dondodent Professional Clean;Electricity;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];6336
Electric Toothbrush Dondodent Professional Clean;Inner Device Heat Gains;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];6336
Electric Toothbrush Dondodent Professional Clean;Reactive;Profile for Electric Toothbrush Dondodent Professional Clean Reactive [Measurement by ZSW (1min)];6336
Elevator;Elevator Distance;Event Location - Home - Elevator [Synthetic for Elevator];280
Elevator;Elevator Distance;Home - Event Location - Elevator [Synthetic for Elevator];280
Elevator;Elevator Distance;Home - School - Elevator [Synthetic for Elevator];320
Elevator;Elevator Distance;Home - Shopping - Elevator [Synthetic for Elevator];180
Elevator;Elevator Distance;Home - Workplace - Elevator [Synthetic for Elevator];122
Elevator;Elevator Distance;School - Home - Elevator [Synthetic for Elevator];321
Elevator;Elevator Distance;Shopping - Home - Elevator [Synthetic for Elevator];179
Elevator;Elevator Distance;Workplace - Home - Elevator [Synthetic for Elevator];122
Food Slicer / DOMO Schneidemaschine DO521S;Apparent;0 h 01 min 100% [Synthetic];46
Food Slicer / DOMO Schneidemaschine DO521S;Apparent;0 h 05 min 100% [Synthetic];345
Food Slicer / DOMO Schneidemaschine DO521S;Electricity;0 h 01 min 100% [Synthetic];46
Food Slicer / DOMO Schneidemaschine DO521S;Electricity;0 h 05 min 100% [Synthetic];345
Food Slicer / DOMO Schneidemaschine DO521S;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];46
Food Slicer / DOMO Schneidemaschine DO521S;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];345
Food Slicer / DOMO Schneidemaschine DO521S;Reactive;0 h 01 min 100% [Synthetic];46
Food Slicer / DOMO Schneidemaschine DO521S;Reactive;0 h 05 min 100% [Synthetic];345
Freezer Liebherr Premium no Frost 2358 (2011);Apparent;0 h 01 min 100% [Synthetic];46
Freezer Liebherr Premium no Frost 2358 (2011);Apparent;Profile for Freezer Liebherr Premium no Frost 2358 (2011) Apparent [Measurement by ZSW (1min)];1404
Freezer Liebherr Premium no Frost 2358 (2011);Electricity;0 h 01 min 100% [Synthetic];46
Freezer Liebherr Premium no Frost 2358 (2011);Electricity;Profile for Freezer Liebherr Premium no Frost 2358 (2011) Electricity [Measurement by ZSW (1min)];1404
Freezer Liebherr Premium no Frost 2358 (2011);Inner Device Heat Gains;0 h 01 min 100% [Synthetic];46
Freezer Liebherr Premium no Frost 2358 (2011);Inner Device Heat Gains;Profile for Freezer Liebherr Premium no Frost 2358 (2011) Electricity [Measurement by ZSW (1min)];1404
Freezer Liebherr Premium no Frost 2358 (2011);Reactive;0 h 01 min 100% [Synthetic];46
Freezer Liebherr Premium no Frost 2358 (2011);Reactive;Profile for Freezer Liebherr Premium no Frost 2358 (2011) Reactive [Measurement by ZSW (1min)];1404
Generic Music Instrument without Electricity;None;01 h 0 min 100% [Synthetic];697
Grill;None;02 h 0 min 100% [Synthetic];43
Hair Dryer Babyliss 2000;Apparent;0 h 20 min 100% [Synthetic];171
Hair Dryer Babyliss 2000;Apparent;Profile for Hair Dryer Babyliss Pro 2000 Apparent [Measured 1 min Resolution (TUC)];168
Hair Dryer Babyliss 2000;Electricity;0 h 20 min 100% [Synthetic];171
Hair Dryer Babyliss 2000;Electricity;Profile for Hair Dryer Babyliss Pro 2000 Electricity [Measured 1 min Resolution (TUC)];168
Hair Dryer Babyliss 2000;Inner Device Heat Gains;0 h 20 min 100% [Synthetic];171
Hair Dryer Babyliss 2000;Inner Device Heat Gains;Profile for Hair Dryer Babyliss Pro 2000 Electricity [Measured 1 min Resolution (TUC)];168
Hair Dryer Babyliss 2000;Reactive;0 h 20 min 100% [Synthetic];171
Hair Dryer Babyliss 2000;Reactive;Profile for Hair Dryer Babyliss Pro 2000 Electricity [Measured 1 min Resolution (TUC)];168
Hand-held Circular Saw / Bosch PKS 66 AF;Apparent;0 h 05 min 100% [Synthetic];61
Hand-held Circular Saw / Bosch PKS 66 AF;Electricity;0 h 05 min 100% [Synthetic];61
